ID (DC:identifier)	ASSESSORATO DIPARTIMENTO/UFFICIO SPECIALE TITOLARE (DC:creator)	TEMA DATI.GOV.IT (DCAT:theme)	TEMA EUROVOC (DCAT:theme)	SOTTOTEMA EUROVOC (DCAT:theme)	NOME DEL/DEI DATASET (DC:title)	DESCRIZIONE (DC:description)	PAROLE CHIAVE (DCAT:keyword)	PAGINA WEB (DCAT:landingPage)	URL DI PUBBLICAZIONE (DCAT:downloadURL)	FORMATO (DC:format)	LICENZA X RIUTILIZZO (DC:license)	LOCALIZZAZIONE (0 - Nessuna 1 - CAP/Comune 2 - Indirizzo 3 - coordinate geospaziali-Latitudine/Long o poligoni.)	DATA ULTIMO AGGIORNAMENTO (DC:modified)	FREQUENZA DI AGGIORNAMENTO	OBBLIGO DI PUBBLICAZIONE	ALTRO
153	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	I luoghi da scoprire	Mete e  percorsi turistici alternativi, alla scoperta delle località siciliane meno conosciute		http://pti.regione.sicilia.it/portal/page/portal/SIT_PORTALE/SIT_DIR_AREE_TEMATICHE/the%20infinite%20island/itinerari%20alternativi		Proprietario (DB)	NO		?			
154	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	I mari di Sicilia			http://pti.regione.sicilia.it/portal/page/portal/SIT_PORTALE/SIT_DIR_AREE_TEMATICHE/SIT_MARI/SIT_MARI_ELENCO		Proprietario (DB)	NO		?			
155	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Le isole dell'isola			http://pti.regione.sicilia.it/portal/page/portal/SIT_PORTALE/SIT_DIR_AREE_TEMATICHE/SIT_MARI/SIT_ISOLE		Proprietario (DB)	NO		?			
156	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	I grandi parchi di Sicilia			http://pti.regione.sicilia.it/portal/page/portal/SIT_PORTALE/SIT_DIR_AREE_TEMATICHE/SIT_PARCHI/SIT_PARCHI_ELENCO		Proprietario (DB)	NO		?			
157	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Riserve e aree protette			http://pti.regione.sicilia.it/portal/page/portal/SIT_PORTALE/SIT_DIR_AREE_TEMATICHE/SIT_PARCHI/Riserve		Proprietario (DB)	NO		?			
158	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Ricette siciliane			http://pti.regione.sicilia.it/portal/page/portal/SIT_PORTALE/SIT_DIR_AREE_TEMATICHE/SIT_GASTRONOMIA/Ricette%20siciliane		Proprietario (DB)	NO		?			
159	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Terme siciliane			http://pti.regione.sicilia.it/portal/page/portal/SIT_PORTALE/SIT_DIR_AREE_TEMATICHE/SIT_TermeBenessere		Proprietario (DB)	NO		?			
160	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Dove dormire	Catalogo  di 5103 schede accessibile tramite maschera di ricerca		http://pti.regione.sicilia.it/portal/page/portal/SIT_PORTALE/SIT_RICERCHE/SIT_RICERCA?tipoOfferta=1		Proprietario (DB)	NO		?			
161	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Itinerari e percorsi a tema			http://pti.regione.sicilia.it/portal/page/portal/SIT_PORTALE/Itinerari		Proprietario (DB)	NO		?			
162	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Galleria di foto			http://pti.regione.sicilia.it/portal/page/portal/SIT_PORTALE/SIT_Photogallery/SIT_Thumbnails1		Proprietario (DB, jpg)	NO		?			
163	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Elenco agenzie di viaggio			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_TurismoSportSpettacolo/PIR_Turismo/PIR_Agenziediviaggio		Proprietario (pdf)	NO	2	SI			
164	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Mappa dei distretti turistici			http://www.regione.sicilia.it/turismo/web_turismo/cartografia/mappa_distretti.asp		Proprietario (ArcGIS)	NO	3	SI			
165	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Mappa dei principali musei, dei teatri antichi e dei luoghi più suggestivi della Sicilia			http://www.regione.sicilia.it/turismo/web_turismo/cartografia/mappa_musei_teatri_antichi.asp		Proprietario (ArcGIS)	NO	3	SI			
166	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	32 ISTRUZIONE E COMUNICAZIONE	3221 DOCUMENTAZIONE	Attrattività Turistica Sicilia	Presentazione contenente una ricerca di marketing dell'attrattività turistica della Sicilia		http://www.attrattivitasicilia.com/index.php/materiali		Proprietario (pdf)	NO		NO (2011)			
167	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	32 ISTRUZIONE E COMUNICAZIONE	3221 DOCUMENTAZIONE	Movimenti Turistici in Sicilia	Dati elaborati dall'Osservatorio Turistico della Regione Siciliana		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_TurismoSportSpettacolo/PIR_Turismo/PIR_7338501.618136477		Proprietario (xls, zip)	NO		?			
168	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Servizi Turistici regionali	I Servizi turistici regionali si occuperanno anche della vigilanza sulle imprese turistiche che operano in Sicilia		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_TurismoSportSpettacolo/PIR_Turismo/PIR_Staff		Proprietario (html)	NO		?			
169	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Albo regionale siciliano degli Accompagnatori Turistici	È accompagnatore turistico chi, per professione, accompagna persone singole o gruppi di persone nei viaggi attraverso il territorio nazionale o all’estero; fornisce elementi significativi e notizie di interesse turistico sulle zone di transito al di fuori dell’ambito di competenza delle guide.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_TurismoSportSpettacolo/PIR_Turismo/PIR_Guideturistiche		Proprietario (pdf)	NO		SI			
170	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	28 QUESTIONI SOCIALI	2826 VITA SOCIALE	Albo regionale siciliano delle Guide Turistiche	E' istituito presso l'Assessorato regionale del turismo, delle comunicazioni e dei trasporti l'albo professionale delle guide turistiche della Regione siciliana suddiviso in varie sezioni geografiche.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_TurismoSportSpettacolo/PIR_Turismo/PIR_Guideturistiche		Proprietario (pdf)	NO		SI			
171	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	32 ISTRUZIONE E COMUNICAZIONE	3221 DOCUMENTAZIONE	Elenco delle guide subacquee siciliane	E' guida subacquea chi accompagna in itinerari subacquei, singoli o gruppi, di massimo sei persone, in possesso di brevetto subacqueo riconosciuto descrivendo prima dell'immersione il percorso, le caratteristiche della biologia, della flora e della fauna marina e fornendo significative informazioni sulle corrispondenti zone emerse.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_TurismoSportSpettacolo/PIR_Turismo/PIR_Guideturistiche		Proprietario (pdf)	NO		SI			
172	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	32 ISTRUZIONE E COMUNICAZIONE	3221 DOCUMENTAZIONE	Elenco centri di immersione e scuole subacquee siciliane	E' istituito presso il Dipartimento turismo sport e spettacolo l'elenco degli istruttori subacquei che esercitano l'attività di cui al comma 7 dell'art.1 del presente decreto, nell'ambito del territorio della Regione Siciliana.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_TurismoSportSpettacolo/PIR_Turismo/PIR_Guideturistiche		Proprietario (pdf)	NO		SI			
173	Assessorato regionale del turismo dello sport e dello spettacolo Dipartimento regionale del turismo dello sport e dello spettacolo	Turismo, sport e tempo libero	32 ISTRUZIONE E COMUNICAZIONE	3221 DOCUMENTAZIONE	Sicilia in onda	Archivio di documenti visivi (curato dalla Rai) sulla Sicilia, suddiviso nelle seguenti tematiche: - Cultura - Spettacolo - Ambiente - Società - Storia - Musica - Politica - Sport		http://www.siciliainonda.rai.it/dl/sicilia/hp/Page-6bbde67e-e04d-48c0-809f-44d388256eee.html		Proprietario (streaming)	NO		?			
174																
175	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	04 VITA POLITICA	0421 PARLAMENTO	Elenco Deputati	Elenco deputati di tutte le legislature (16)		http://www.ars.sicilia.it/deputati/default.jsp		Proprietario (html)	NO		SI			
176	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	04 VITA POLITICA	0421 PARLAMENTO	Profilo e Attività Deputati	Scheda contenente: - dati legislatura; - cariche assunte; - attività parlamentare (primo firmatario); - attività parlamentare (cofirmatario).		http://www.ars.sicilia.it/deputati/default.jsp		Proprietario (html)	NO		SI			
177	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	04 VITA POLITICA	0421 PARLAMENTO	Gruppi parlamentari	elenco dei vari gruppi parlamenti presenti all'ARS.		http://www.ars.sicilia.it/deputati/gruppi.jsp		Proprietario (html)	NO		SI			
178	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	04 VITA POLITICA	0421 PARLAMENTO	Commissioni parlamentari	elenco delle commissioni parlamentari che si occupano dell’esame di determinati disegni di legge e di commissioni d’indagine e di studio su determinate materie e argomenti		http://www.ars.sicilia.it/organi/commissioni/default.jsp		Proprietario (html)	NO		SI			
179	Assemblea Regionale Siciliana (ARS) Area 2 Servizio del Personale	Government e settore pubblico	04 VITA POLITICA	0436 POTERE ESECUTIVO E AMMINISTRAZIONE PUBBLICA	Organigramma degli uffici			http://www.ars.sicilia.it/uffici/organigramma.jsp		Proprietario (html)	NO		SI			
180	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	04 VITA POLITICA	0426 LAVORI PARLAMENTARI	Lavori d'Aula	Calendario dei lavori d'aula e resoconti stenografici: - ordini del giorno e comunicazioni; - allegati all'ordine degl giorno; - resoconti stenografici; - video della seduta.		http://www.ars.sicilia.it/sedute/default.jsp		Proprietario (pdf)	NO		SI			
181	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	04 VITA POLITICA	0426 LAVORI PARLAMENTARI	Calendario convocazioni Commissioni parlamentari			http://www.ars.sicilia.it/organi/commissioni/calendario.jsp#		Proprietario (jsp)	NO		SI			
182	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	04 VITA POLITICA	0426 LAVORI PARLAMENTARI	Disegni di legge	Raccolta dei disegni di legge (consultabile tramite maschera di interrogazione)		http://www.ars.sicilia.it/home/cerca/221.jsp		Proprietario (DB)	NO		SI			
183	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	04 VITA POLITICA	0426 LAVORI PARLAMENTARI	Interrogazioni	Raccolta delle interrogazioni parlamentari (consultabile tramite maschera di ricerca)		http://www.ars.sicilia.it/home/cerca/233.jsp		Proprietario (DB)	NO		SI			
184	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	04 VITA POLITICA	0426 LAVORI PARLAMENTARI	Interpellanze	Raccolta delle interpellanze parlamentari (consultabile tramite maschera di ricerca)		http://www.ars.sicilia.it/home/cerca/234.jsp		Proprietario (DB)	NO		SI			
185	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	04 VITA POLITICA	0426 LAVORI PARLAMENTARI	Mozioni	Raccolta delle mozioni parlamentari (consultabile tramite maschera di ricerca)		http://www.ars.sicilia.it/home/cerca/235.jsp		Proprietario (DB)	NO		SI			
186	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	04 VITA POLITICA	0426 LAVORI PARLAMENTARI	Ordini del giorno	Raccolta degli ordini del giorno (consultabile tramite maschera di ricerca)		http://www.ars.sicilia.it/home/cerca/236.jsp		Proprietario (DB)	NO		SI			
187	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	04 VITA POLITICA	0426 LAVORI PARLAMENTARI	Risoluzioni	Raccolta delle risloluzioni parlamentari (consultabile tramite maschera di ricerca)		http://www.ars.sicilia.it/home/cerca/238.jsp		Proprietario (DB)	NO		SI			
188	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	32 ISTRUZIONE E COMUNICAZIONE	3221 DOCUMENTAZIONE	Studi e pubblicazioni			http://www.ars.sicilia.it/informazione/pubblicazioni/default.jsp?tipo=P		Proprietario (html + pdf)	NO		SI			
189	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	12 DIRITTO	1206 FONTI E BRANCHE DEL DIRITTO	Raccolte normative			http://www.ars.sicilia.it/informazione/pubblicazioni/default.jsp?tipo=N		Proprietario (html + pdf)	NO		SI			
190	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	20 SCAMBI ECONOMICI E COMMERCIALI	2006 POLITICA COMMERCIALE	Bandi di gara			http://www.ars.sicilia.it/informazione/gare/default.jsp?tipo=G		Proprietario (html + pdf)	NO		SI			
191	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	20 SCAMBI ECONOMICI E COMMERCIALI	2006 POLITICA COMMERCIALE	Concorsi			http://www.ars.sicilia.it/informazione/gare/default.jsp?tipo=C		Proprietario (html + pdf)	NO		SI			
192	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	32 ISTRUZIONE E COMUNICAZIONE	3221 DOCUMENTAZIONE	Biblioteca	Catalogo della biblioteca dell'ARS (OPAC) (consultabile tramite maschera di ricerca)		http://www.ars.sicilia.it/home/cerca/205.jsp		Proprietario (DB)	NO		SI			
193	Assemblea Regionale Siciliana (ARS)	Government e settore pubblico	32 ISTRUZIONE E COMUNICAZIONE	3236 INFORMATICA E TRATTAMENTO DEI DATI	Opere multimediali	Catalogo delle opere multimediali dell'ARS (consultabile tramite maschera di ricerca)		http://www.ars.sicilia.it/home/cerca/205multimedia.jsp		Proprietario (DB)	NO		SI			
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
	Assessorato del'Economia Dipartimento del Bilancio e del Tesoro - Ragioneria generale della Regione Servizio Statistica ed Analisi Economica	Statistica	16 VITA ECONOMICA	1631 ANALISI ECONOMICA	Annuario statistico 2012	Contiene i dati statistici sui principali aspetti della realtà socio-economica della Regione Siciliana		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoEconomia/PIR_DipBilancioTesoro/PIR_ServizioStatistica/PIR_7486913.46118292		Proprietario (xls)	NO		SI			 Sono disponibili anche gli annuari degli anni precedenti
