ID (DC:identifier)	ASSESSORATO DIPARTIMENTO/UFFICIO SPECIALE TITOLARE (DC:creator)	TEMA DATI.GOV.IT (DCAT:theme)	TEMA EUROVOC (DCAT:theme)	SOTTOTEMA EUROVOC (DCAT:theme)	NOME DEL/DEI DATASET (DC:title)	DESCRIZIONE (DC:description)	PAROLE CHIAVE (DCAT:keyword)	PAGINA WEB (DCAT:landingPage)	URL DI PUBBLICAZIONE (DCAT:downloadURL)	FORMATO (DC:format)	LICENZA X RIUTILIZZO (DC:license)	LOCALIZZAZIONE (0 - Nessuna 1 - CAP/Comune 2 - Indirizzo 3 - coordinate geospaziali-Latitudine/Long o poligoni.)	DATA ULTIMO AGGIORNAMENTO (DC:modified)	FREQUENZA DI AGGIORNAMENTO	OBBLIGO DI PUBBLICAZIONE	ALTRO
38	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Cultura	28 QUESTIONI SOCIALI	2831 CULTURA E RELIGIONE	Eventi	DB interrogabile con schede informative		http://www.regione.sicilia.it/beniculturali/dirbenicult/areariservata/eventi/EventiPubblicati/interrogazione.asp		DB	NO		SI			
39	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Cultura	28 QUESTIONI SOCIALI	2831 CULTURA E RELIGIONE	Dati sulla fruizione dei Beni culturali in Sicilia			http://www.regione.sicilia.it/beniculturali/dirbenicult/musei/museifruizione.html		pdf	NO		SI			
40	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Cultura	28 QUESTIONI SOCIALI	2831 CULTURA E RELIGIONE	Schede dei beni inamovibili della Regione Siciliana			http://www.regione.sicilia.it/beniculturali/dirbenicult/info/beniinamovibili/beniinamovibili.html		html	NO		SI			
41	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Cultura	28 QUESTIONI SOCIALI	2831 CULTURA E RELIGIONE	Virtual Tour, mappe con percorsi e schede	- Carta con percorsi .pdf - Le carte delle aree archeologiche .swf  - Virtual tour - Scheda		http://www.regione.sicilia.it/beniculturali/dirbenicult/musei/museivirtualtour.html		pdf	NO		SI			
42	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Cultura	28 QUESTIONI SOCIALI	2831 CULTURA E RELIGIONE	Google map dei musei, delle gallerie e della aree archeologiche siciliane	111 siti georeferenziati		http://www.regione.sicilia.it/beniculturali/dirbenicult/database/museogeo/site_locator.asp		Proprietario	NO	3	SI			
43	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Cultura	28 QUESTIONI SOCIALI	2831 CULTURA E RELIGIONE	Elenco del patrimonio culturale vincolato	Vincoli dei beni culturali > VINCOLI ARCHEOLOGICI.pdf > VINCOLI BENI MOBILI STORICO-ARTISTICI.pdf > VINCOLI BENI IMMOBILI STORICO-ARTISTICI ED ARCHITETTONICI.pdf > VINCOLI BENI ETNOANTROPOLOGICI.pdf > VINCOLI NATURALISTICI.pdf   Vincoli dei beni paesaggistici  > VINCOLI PAESAGGISTICI		http://www.regione.sicilia.it/beniculturali/dirbenicult/soprintendenze/vincoli/vincolibc.html		pdf	NO		?			
44	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Ambiente e meteo	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Piano paesaggistico regionale	Rappresentazione cartografica e dei contenuti metodologici, tematici e normativi dei Piani Territoriali Paesaggistici della Regione Siciliana.		http://www.regione.sicilia.it/beniculturali/dirbenicult/bca/ptpr/sitr.html		Proprietario (Web Gis)	NO		?			
45	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Ambiente e meteo	52 AMBIENTE	5206 POLITICA DELL'AMBIENTE	Piano di Gestione UNESCO Isole Eolie	Piano contentente allegati cartografici: - Ortofoto .pdf   - Modello digitale del terreno .pdf  - Perimetrazione SIC e ZTS .pdf - Riserva naturale orientata .pdf     - Vulcanologia .pdf   - Archeologia .pdf		http://www.regione.sicilia.it/beniculturali/dirbenicult/pianogestioneeolie.html		pdf	NO		?			
46	Assessorato dei Beni Culturali e dell'Identità Siciliana Dipartimento dei Beni culturali e dell'Identità siciliana	Cultura	28 QUESTIONI SOCIALI	2831 CULTURA E RELIGIONE	Registro delle Eredità Immateriali (R.E.I.)			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssBeniCulturali/PIR_BeniCulturaliAmbientali/PIR_REIRegistrodelleEreditaImmateriali		xls	NO		SI			
47	Assessorato dei Beni Culturali e dell'Identità Siciliana Biblioteca centrale della Regione Siciliana 'A. Bombace' Palermo	Cultura	28 QUESTIONI SOCIALI	2831 CULTURA E RELIGIONE	Catalogo Polo regionale di Sicilia	Il catalogo contiene 612.017 schede, aggiornate al 01/07/2013		http://opac.sicilia.metavista.it/opac_sicilia/opac/sicilia/free.jsp		DB	NO		SI			
